Station Channel Location Latitude Longitude Elevation Depth Azimuth Start_time End_time Constant 
NSK HLE 10 24.673739 121.366575 685.00 0.00 90.0 2016-05-20 2599-12-31 3.22E-6 
NSK HLN 10 24.673739 121.366575 685.00 0.00 0.0 2016-05-20 2599-12-31 3.19E-6 
NSK HLZ 10 24.673739 121.366575 685.00 0.00 0.0 2016-05-20 2599-12-31 3.22E-6 
NST HLE 10 24.629600 121.008750 173.00 0.00 90.0 2018-12-07 2599-12-31 3.23E-6 
NST HLN 10 24.629600 121.008750 173.00 0.00 0.0 2018-12-07 2599-12-31 3.23E-6 
NST HLZ 10 24.629600 121.008750 173.00 0.00 0.0 2018-12-07 2599-12-31 3.23E-6 
NSY HLE 10 24.414420 120.769700 299.00 0.00 90.0 2018-12-07 2599-12-31 3.22E-6 
NSY HLN 10 24.414420 120.769700 299.00 0.00 0.0 2018-12-07 2599-12-31 3.21E-6 
NSY HLZ 10 24.414420 120.769700 299.00 0.00 0.0 2018-12-07 2599-12-31 3.21E-6 
NWF HLE 10 25.071509 121.781410 728.00 0.00 90.0 2018-12-03 2599-12-31 3.22E-6 
NWF HLN 10 25.071509 121.781410 728.00 0.00 0.0 2018-12-03 2599-12-31 3.21E-6 
NWF HLZ 10 25.071509 121.781410 728.00 0.00 0.0 2018-12-03 2599-12-31 3.21E-6 
PCY HLE 10 25.627931 122.080002 37.00 0.00 90.0 2022-09-16 2599-12-31 3.22E-6 
PCY HLN 10 25.627931 122.080002 37.00 0.00 0.0 2022-09-16 2599-12-31 3.24E-6 
PCY HLZ 10 25.627931 122.080002 37.00 0.00 0.0 2022-09-16 2599-12-31 3.23E-6 
PCY HLE 11 25.627931 122.080002 37.00 0.00 90.0 2023-01-30 2599-12-31 2.45E-6 
PCY HLN 11 25.627931 122.080002 37.00 0.00 0.0 2023-01-30 2599-12-31 2.45E-6 
PCY HLZ 11 25.627931 122.080002 37.00 0.00 0.0 2023-01-30 2599-12-31 2.45E-6 
PNG HLE 10 23.565294 119.563600 10.00 0.00 90.0 2023-01-16 2599-12-31 3.26E-6 
PNG HLN 10 23.565294 119.563600 10.00 0.00 0.0 2023-01-16 2599-12-31 3.24E-6 
PNG HLZ 10 23.565294 119.563600 10.00 0.00 0.0 2023-01-16 2599-12-31 3.25E-6 
SCL HLE 10 23.174280 120.201771 7.00 0.00 90.0 2023-01-16 2599-12-31 3.21E-6 
SCL HLN 10 23.174280 120.201771 7.00 0.00 0.0 2023-01-16 2599-12-31 3.22E-6 
SCL HLZ 10 23.174280 120.201771 7.00 0.00 0.0 2023-01-16 2599-12-31 3.24E-6 
SCZ HLE 10 22.370310 120.628200 66.00 0.00 90.0 2018-11-20 2599-12-31 3.23E-6 
SCZ HLN 10 22.370310 120.628200 66.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
SCZ HLZ 10 22.370310 120.628200 66.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
SCZ HLE 11 22.370310 120.628200 66.00 0.00 90.0 2023-02-02 2599-12-31 2.45E-6 
SCZ HLN 11 22.370310 120.628200 66.00 0.00 0.0 2023-02-02 2599-12-31 2.45E-6 
SCZ HLZ 11 22.370310 120.628200 66.00 0.00 0.0 2023-02-02 2599-12-31 2.45E-6 
SEB HLE 10 21.900920 120.855107 32.00 0.00 90.0 2023-01-18 2599-12-31 3.22E-6 
SEB HLN 10 21.900920 120.855107 32.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
SEB HLZ 10 21.900920 120.855107 32.00 0.00 0.0 2023-01-18 2599-12-31 3.23E-6 
SGL HLE 10 22.723431 120.498727 31.00 0.00 90.0 2018-11-20 2599-12-31 3.23E-6 
SGL HLN 10 22.723431 120.498727 31.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
SGL HLZ 10 22.723431 120.498727 31.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
SGS HLE 10 23.080438 120.590846 279.00 0.00 90.0 2023-01-17 2599-12-31 3.21E-6 
SGS HLN 10 23.080438 120.590846 279.00 0.00 0.0 2023-01-17 2599-12-31 3.21E-6 
SGS HLZ 10 23.080438 120.590846 279.00 0.00 0.0 2023-01-17 2599-12-31 3.23E-6 
SML HLE 10 23.881330 120.908220 999.00 0.00 90.0 2018-12-07 2599-12-31 3.2E-6 
SML HLN 10 23.881330 120.908220 999.00 0.00 0.0 2018-12-07 2599-12-31 3.23E-6 
SML HLZ 10 23.881330 120.908220 999.00 0.00 0.0 2018-12-07 2599-12-31 3.2E-6 
SPT HLE 10 22.676669 120.496083 29.00 0.00 90.0 2018-11-20 2599-12-31 3.24E-6 
SPT HLN 10 22.676669 120.496083 29.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
SPT HLZ 10 22.676669 120.496083 29.00 0.00 0.0 2018-11-20 2599-12-31 3.2E-6 
SSD HLE 10 22.744260 120.640050 148.00 0.00 90.0 2018-11-20 2599-12-31 3.23E-6 
SSD HLN 10 22.744260 120.640050 148.00 0.00 0.0 2018-11-20 2599-12-31 3.25E-6 
SSD HLZ 10 22.744260 120.640050 148.00 0.00 0.0 2018-11-20 2599-12-31 3.24E-6 
SSH HLE 10 23.136107 120.288240 17.00 0.00 90.0 2018-11-13 2599-12-31 3.26E-6 
SSH HLN 10 23.136107 120.288240 17.00 0.00 0.0 2018-11-13 2599-12-31 3.24E-6 
SSH HLZ 10 23.136107 120.288240 17.00 0.00 0.0 2018-11-13 2599-12-31 3.26E-6 
STY HLE 10 23.160695 120.765644 642.00 0.00 90.0 2018-11-20 2599-12-31 3.23E-6 
STY HLN 10 23.160695 120.765644 642.00 0.00 0.0 2018-11-20 2599-12-31 3.23E-6 
STY HLZ 10 23.160695 120.765644 642.00 0.00 0.0 2018-11-20 2599-12-31 3.21E-6 
TAI HLE 10 22.993238 120.204674 19.00 0.00 90.0 2023-01-16 2599-12-31 3.23E-6 
TAI HLN 10 22.993238 120.204674 19.00 0.00 0.0 2023-01-16 2599-12-31 3.23E-6 
TAI HLZ 10 22.993238 120.204674 19.00 0.00 0.0 2023-01-16 2599-12-31 3.23E-6 
TAI1 HLE 10 23.038016 120.236583 10.00 0.00 90.0 2023-01-16 2599-12-31 3.24E-6 
TAI1 HLN 10 23.038016 120.236583 10.00 0.00 0.0 2023-01-16 2599-12-31 3.25E-6 
TAI1 HLZ 10 23.038016 120.236583 10.00 0.00 0.0 2023-01-16 2599-12-31 3.26E-6 
TAW HLE 10 22.355896 120.903565 11.00 0.00 90.0 2018-12-10 2599-12-31 3.26E-6 
TAW HLN 10 22.355896 120.903565 11.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
TAW HLZ 10 22.355896 120.903565 11.00 0.00 0.0 2018-12-10 2599-12-31 3.24E-6 
TCU HLE 10 24.145600 120.684090 89.00 0.00 90.0 2018-12-07 2599-12-31 3.22E-6 
TCU HLN 10 24.145600 120.684090 89.00 0.00 0.0 2018-12-07 2599-12-31 3.21E-6 
TCU HLZ 10 24.145600 120.684090 89.00 0.00 0.0 2018-12-07 2599-12-31 3.23E-6 
TIPB HLE 10 24.971881 121.825533 399.00 0.00 90.0 2022-02-19 2599-12-31 3.23E-6 
TIPB HLN 10 24.971881 121.825533 399.00 0.00 0.0 2022-02-19 2599-12-31 3.24E-6 
TIPB HLZ 10 24.971881 121.825533 399.00 0.00 0.0 2022-02-19 2599-12-31 3.23E-6 
TIPB HLE 11 24.971881 121.825533 399.00 0.00 90.0 2023-02-02 2599-12-31 3.08E-6 
TIPB HLN 11 24.971881 121.825533 399.00 0.00 0.0 2023-02-02 2599-12-31 3.09E-6 
TIPB HLZ 11 24.971881 121.825533 399.00 0.00 0.0 2023-02-02 2599-12-31 3.08E-6 
TTN HLE 10 22.752241 121.154867 12.00 0.00 90.0 2018-12-10 2599-12-31 3.26E-6 
TTN HLN 10 22.752241 121.154867 12.00 0.00 0.0 2018-12-10 2599-12-31 3.23E-6 
TTN HLZ 10 22.752241 121.154867 12.00 0.00 0.0 2018-12-10 2599-12-31 3.26E-6 
WCH1 HLE 10 24.071750 120.546809 17.00 0.00 90.0 2023-01-30 2599-12-31 3.25E-6 
WCH1 HLN 10 24.071750 120.546809 17.00 0.00 0.0 2023-01-30 2599-12-31 3.24E-6 
WCH1 HLZ 10 24.071750 120.546809 17.00 0.00 0.0 2023-01-30 2599-12-31 3.2E-6 
WDG HLE 10 23.257348 119.667509 34.00 0.00 90.0 2018-11-14 2599-12-31 3.23E-6 
WDG HLN 10 23.257348 119.667509 34.00 0.00 0.0 2018-11-14 2599-12-31 3.23E-6 
